1	!	6005	to lie, rest
2	!	6047	to scratch
3	he;she;it	5454	he or she [third person singular]
4	!	6024	to dig
5	!	6393	female
6	!	6464	and
7	!	5493	when
8	(water flow)	961244	to flow
9	!	6050	to swim
10	listen;hear	5999	to hear
11	!	1425860	to lie down
12	labour	471303	to work
13	frost	6042	to freeze
14	vertical, be standing	6053	to stand
15	!	344031	the roof
16	plant(seed)	619975	to plant (grow)
17	bind; tie up	844574	to tie (together)
18	!	6045	to stab
19	!	5495	not
20	grow(of people)	154737	to grow
21	squeeze (for milk)	6017	to squeeze
22	?	5648	the back
23	?	7013	twenty
24	?	6044	to hit
25	?	478515	to reside (live)
26	?	5450	I [first person singular]
27	?	155571	shy
28	?	6028	to be alive
29	?	264	the ashes
30	?	436024	right
31	?	6027	to suck
32	?	1299599	to burn [transitive]
33	?	6396	male
34	?	5516	the belly
35	?	6072	to throw
36	?	5432	the husband
37	?	1009	the dust
38	?	6073	to sew
39	?	5483	dirty
40	?	441371	to yawn
41	?	6233,6237	the mouse or rat
42	?	6186	the shoulder
43	?	7031	rotten (of fruits)
44	?	7026	correct (right)
45	?	828575	the nail (fingernail or claw)
46	?	741520	the wood (material)
47	?	6048	to split
48	?	5540	to sing
49	?	6046	to hunt
50	?	6343	the branch
51	?	5998	to breathe
52	?	479132	to cook
53	?	6023	to kill
54	?	6055	to turn (around)
55	?	1406403	other
56	?	7084	to choose
57	?	5456	you [second person plural]
58	?	OMEGAWIKI	CONCEPT
59	?	5486	the night
60	?	1499731	left
61	?	5499	some
62	?	6062	to rub
63	?	6026	to count
64	?	6199	below, under
65	?	6811	the lightning
66	?	7064	above
67	say	6075	to say
68	thunder	509787	the thunder
69	five	156104	five
70	four	6253	four
71	dry	5989	dry
72	smooth	5487	smooth
73	we	5455	we [first person plural]
74	wide	5502	wide
75	open	513017	to open
76	round	5984	round
77	dream	8448	to the dream
78	sharp	5987	sharp
79	child	7413	the child (descendant)
80	sand	3305	the sand
81	they	352331	they [third person plural]
82	fly	6052	to fly (move through air)
83	give	6059	to give
84	smell	6520	to smell (perceive odor) [transitive]
85	fight	6030	to fight
86	forest	1533	the forest
87	float	6457	to float
88	think	6021	to think (reflect)
89	wing	5528	the wing
90	narrow	5566	narrow
91	stick	5662	the stick
92	skin	3430	the skin
93	blunt	1511061	blunt
94	smoke	3451	the smoke
95	leg	5665	the leg
96	needle	5951	the needle (for sewing)
97	day	5477	the day (opposed to night)
98	thou	5459	thou [second person singular]
99	ice	1837	the ice
100	man	6397	the man
101	bark	5439	the bark
102	rope	5465	the rope
