NUMBER	GLOSS
1	above
2	all
3	and
4	animal [noun]
5	ashes [noun]
6	at
7	back [noun]
8	bad
9	bark [noun]
10	bark [verb]
11	bark/the bark [verb]
12	be alive [verb]
13	because
14	belly [noun]
15	below, under
16	big
17	bird [noun]
18	bite [verb]
19	black
20	blood [noun]
21	blow [verb]
22	blunt
23	bone [noun]
24	branch [noun]
25	breast [noun]
26	breathe [verb]
27	burn (intransitive) [verb]
28	burn [transitive] [verb]
29	buy [verb]
30	chew [verb]
31	child (descendant) [noun]
32	child (young human [noun]
33	choose [verb]
34	claw [noun]
35	climb [verb]
36	cloud [noun]
37	cold (of temperature)
38	come [verb]
39	cook [verb]
40	correct (right)
41	count [verb]
42	cry [verb]
43	cut [verb]
44	day (opposed to night) [noun]
45	die [verb]
46	dig [verb]
47	dirty
48	dog [noun]
49	dream [noun]
50	drink [verb]
51	dry
52	dull
53	dust [noun]
54	ear [noun]
55	earth (soil) [noun]
56	eat [verb]
57	egg [noun]
58	eight
59	eye [noun]
60	fall [verb]
61	far
62	fat (grease) [noun]
63	fat (obese)
64	father [noun]
65	fear (be afraid) [verb]
66	feather [noun]
67	female
68	few
69	fight [verb]
70	fire [noun]
71	fish [noun]
72	five
73	float [verb]
74	flow [verb]
75	flower [noun]
76	fly (move through air) [verb]
77	fog [noun]
78	foot [noun]
79	forest [noun]
80	four
81	freeze [verb]
82	fruit [noun]
83	full
84	give [verb]
85	good
86	grass [noun]
87	green
88	grow [verb]
89	hair [noun]
90	hand [noun]
91	he or she [third person singular]
92	head [noun]
93	hear [verb]
94	heart [noun]
95	heavy
96	here
97	hide (conceal) [verb]
98	hit [verb]
99	hold [verb]
100	horn (keratinized skin) [noun]
101	house [noun]
102	how
103	hundred
104	hunt [verb]
105	husband [noun]
106	I [first person singular]
107	ice [noun]
108	if
109	in
110	intestines [noun]
111	kill [verb]
112	knee [noun]
113	knife
114	know [verb]
115	lake [noun]
116	laugh [verb]
117	leaf [noun]
118	left
119	leg [noun]
120	lick [verb]
121	lick/to suck [verb]
122	lie down [verb]
123	lie, rest [verb]
124	lightning [noun]
125	liver [noun]
126	long
127	louse [noun]
128	male
129	man [noun]
130	many
131	meat [noun]
132	moon [noun]
133	mosquito [noun]
134	mother [noun]
135	mountain [noun]
136	mouse or rat [noun]
137	mouth [noun]
138	nail (fingernail or claw) [noun]
139	name [noun]
140	narrow
141	near
142	neck [noun]
143	needle (for sewing) [noun]
144	new
145	night [noun]
146	nine
147	nose [noun]
148	not
149	now
150	old (of person)
151	one
152	open [verb]
153	other
154	painful
155	person [noun]
156	plant [verb]
157	play [verb]
158	pull [verb]
159	push [verb]
160	rain [noun]
161	red
162	reside (live) [verb]
163	right
164	river [noun]
165	road [noun]
166	roof [noun]
167	root [noun]
168	rope [noun]
169	rotten (of fruits)
170	round
171	rub [verb]
172	salt [noun]
173	sand [noun]
174	say [verb]
175	scratch [verb]
176	sea [noun]
177	see [verb]
178	seed [noun]
179	seven
180	sew [verb]
181	sharp
182	shoot (an arrow) [verb]
183	short
184	shoulder [noun]
185	shy
186	sick
187	sing [verb]
188	sit [verb]
189	six
190	skin [noun]
191	sky [noun]
192	sleep [verb]
193	small
194	smell (perceive odor) [transitive] [verb]
195	smoke [noun]
196	smooth
197	snake [noun]
198	snow [noun]
199	some
200	spider [noun]
201	spit [verb]
202	split [verb]
203	squeeze [verb]
204	stab [verb]
205	stand [verb]
206	star [noun]
207	steal [verb]
208	stick [noun]
209	stone (a piece of) [noun]
210	straight
211	suck [verb]
212	sun [noun]
213	swell [verb]
214	swim [verb]
215	tail [noun]
216	ten
217	that
218	there
219	they [third person plural]
220	thick
221	thin
222	think (reflect) [verb]
223	this
224	thou [second person singular]
225	three
226	throw [verb]
227	thunder [noun]
228	tie (together) [verb]
229	tongue [noun]
230	tooth (front) [noun]
231	tree [noun]
232	turn (around) [verb]
233	twenty
234	two
235	vomit [verb]
236	walk [verb]
237	warm (hot)
238	wash [verb]
239	water [noun]
240	we [first person plural]
241	wet
242	what
243	when
244	where
245	white
246	who
247	wide
248	wife [noun]
249	wind [noun]
250	wing [noun]
251	wipe
252	with
253	woman [noun]
254	wood (material) [noun]
255	work [noun]
256	worm [noun]
257	yawn [verb]
258	year [noun]
259	yellow
260	you [second person plural]
